"BASIN","SITE","LON_M","LAT_M","MEAN_SUM_TEMP","SD_SUM_TEMP","MEAN_SUM_SAL","SD_SUM_SAL","MEAN_SUM_DO","SD_SUM_DO","optional"
"FK","Cutoe Key",159886.907318087,48709.0367908313,30.54852,0.811914411745475,36.63374,0.378516271777053,6.112438,0.0864497664542823,TRUE
"FK","Content Passage",151239.279718819,51915.8434058508,30.27038,0.356786409494532,36.38238,0.559697013570736,6.147844,0.0420258816683245,TRUE
"FK","Bluefish Channel",155921.838905462,46267.6392901867,30.69836,0.732999923601633,36.62224,0.22160641461835,6.097426,0.0734358235468223,TRUE
"FK","Alligator Reef #2",238202.343213958,57611.4285970874,30.38496,0.724767889051385,35.75174,0.797357650618592,6.157332,0.0667751923995733,TRUE
"FK","Sombrero Key #2",188660.628347479,32863.0373245012,30.45806,0.925036265775565,36.11764,0.800884937428592,6.137878,0.105137382362317,TRUE
"Biscayne Bay","BISC122",270949.149027178,119856.134142749,30.1606666666667,0.505834843490331,34.6153333333333,1.65744884285056,5.65133333333333,0.85478587312197,TRUE
"Biscayne Bay","BISC121",271318.872105665,113396.18999238,30.3965925926667,0.276113955221609,36.2979999986667,1.15440845919939,5.64066666666667,1.12077453377366,TRUE
"Biscayne Bay","BISC101",268313.538155956,127043.027716535,30.4305185186667,0.658292393239454,33.604,3.61345740869385,5.76,0.875236475981714,TRUE
"Biscayne Bay","BB53",267126.33975108,129669.494508509,29.7751111113333,1.23020815264273,17.5296666666667,3.18916533838488,6.00466666666667,0.705165859134494,TRUE
"Biscayne Bay","BB52",269848.818796037,136565.913162306,29.4122222226667,0.574190788386491,24.783,5.38919126585799,4.85333333333333,0.642603212635051,TRUE
"Biscayne Bay","BB51",259025.044348488,101827.482885446,30.5845185186667,0.638287339143008,29.7106666666667,7.06204699628782,5.30466666666667,0.685438221545571,TRUE
"Biscayne Bay","BB50",262793.903886208,99451.8669037338,30.3075555553333,0.204392203329714,35.171333332,5.41906234191283,5.22399999933333,0.764865274927552,TRUE
"Biscayne Bay","BB47",268447.040822962,111321.107472695,30.529296296,0.707168764414313,36.3606666666667,1.58174376348805,5.606666666,0.524589787209439,TRUE
"Biscayne Bay","BB41",271950.418999238,126393.802357125,30.006,0.323078937722656,36.0853333333333,1.58896472235506,5.638,0.547548069934402,TRUE
"Biscayne Bay","BB39A",269648.56476505,132335.585471171,30.1699111110667,0.490493971256405,31.8227333333333,5.95357878553359,5.9602,0.423996698100351,TRUE
"Biscayne Bay","BB38",276455.981610364,131625.4000508,29.8557777773333,0.348993614696619,36.06,1.88744389173412,5.46866666666667,0.475479874559493,TRUE
"Biscayne Bay","BB37",281206.908712217,137303.225775972,30.100148148,0.326548710651319,35.0273333333333,1.46331131342582,5.97066666666667,0.776263844034717,TRUE
