"BASIN","SITE","LON_M","LAT_M","MEAN_WIN_TEMP","SD_WIN_TEMP","MEAN_WIN_SAL","SD_WIN_SAL","MEAN_WIN_DO","SD_WIN_DO","optional"
"FK","Bullard Bank",185161.514989998,53559.003053473,23.80434,2.21558984651943,35.07408,0.881534949392252,6.922986,0.215718182659691,TRUE
"FK","John Sawyer Bank",188624.12496568,47607.7161424751,24.01628,2.15905351184263,35.54922,0.452231242839325,6.787758,0.370885727846192,TRUE
"FK","Red Bay Bank",182585.181812601,46769.9836735695,23.93036,2.22534192945713,35.01204,0.935360253057613,6.791152,0.399998653210233,TRUE
"FK","Bullfrog Banks",164502.78272137,57452.4434810175,22.54704,1.33431354748425,35.75224,0.292436716231049,7.02127,0.16582836096398,TRUE
"FK","W. Bahia Honda Key",170769.936678563,50779.6301171884,22.98418,0.80419653505844,35.8737,0.523763725357148,6.959254,0.087578767004337,TRUE
"FK","Cutoe Key",159886.907318087,48709.0367908313,23.08978,1.47015054399201,35.76718,0.351643615042276,6.95323,0.179380718027329,TRUE
"FK","Content Passage",151239.279718819,51915.8434058508,22.50386,1.52506400619777,35.82472,0.333109512022697,7.023794,0.194655247373401,TRUE
"FK","Bluefish Channel",155921.838905462,46267.6392901867,23.07824,1.22000528400495,36.0073,0.483435352451598,6.944608,0.141971132875666,TRUE
"FK","Grecian Rocks",269955.03705188,85905.9481974783,23.63726,0.811659936796193,36.32978,0.131216146110149,6.85549,0.110026494990979,TRUE
"FK","Alligator Reef #2",238202.343213958,57611.4285970874,24.44144,0.994984240076193,36.31076,0.119948751556654,6.73673,0.154710018098376,TRUE
"FK","Sombrero Key #2",188660.628347479,32863.0373245012,24.1789,1.18939153351619,36.14426,0.172874934562534,6.809094,0.132653856822936,TRUE
"Biscayne Bay","BISC122",270949.149027178,119856.134142749,22.4213333333333,1.38665384609458,31.098,3.71234023225243,7.388,0.419063771333725,TRUE
"Biscayne Bay","BISC121",271318.872105665,113396.18999238,22.199333332,1.39736537928544,33.6079999993333,2.73769529994097,7.04133333333333,0.558502959307787,TRUE
"Biscayne Bay","BISC101",268313.538155956,127043.027716535,22.5946666666667,1.39964003308787,25.9933333333333,2.85432615126194,7.69133333333333,0.677284611108539,TRUE
"Biscayne Bay","BB53",267126.33975108,129669.494508509,22.6753333333333,2.02937709381201,19.653,3.89572457958722,8.86866666666667,1.67677161699367,TRUE
"Biscayne Bay","BB52",269848.818796037,136565.913162306,21.7873333333333,0.900336819689659,26.3606666666667,6.14824620431622,7.48733333333333,1.65742462540198,TRUE
"Biscayne Bay","BB51",259025.044348488,101827.482885446,22.2513333313333,1.06433495364528,27.177999998,3.25242951955594,6.88799999933333,0.87512094484261,TRUE
"Biscayne Bay","BB50",262793.903886208,99451.8669037338,22.112,1.05824960298704,28.5906666666667,3.08725102459921,6.97066666666667,0.793814279986894,TRUE
"Biscayne Bay","BB47",268447.040822962,111321.107472695,22.0613333333333,1.12348317497168,33.4853333313333,2.67102102726633,6.30133333333333,1.17074193000279,TRUE
"Biscayne Bay","BB41",271950.418999238,126393.802357125,21.9966666666667,1.05659042837484,32.1853333333333,2.89911825675785,7.20333333333333,0.459655668227135,TRUE
"Biscayne Bay","BB39A",269648.56476505,132335.585471171,22.6365333333333,1.07655751768723,29.0784,4.27241364518413,7.40093333333333,0.677403146008507,TRUE
"Biscayne Bay","BB38",276455.981610364,131625.4000508,21.8486666666667,1.11944331403307,35.6633333333333,1.33983415225749,6.946,0.794335501465778,TRUE
"Biscayne Bay","BB37",281206.908712217,137303.225775972,22.3366666666667,0.753683546914014,35.22,1.18782714791898,6.99533333333333,0.959909139218684,TRUE
